# Gaia DR3 Real Star Cluster: Pleiades (M45)
# Total Stars: 1679 | 1:1 IRL Physical Units: pos=pc, vel=km/s, mass=M_sun
# Gravitational constant: G = 0.004300917 pc*(km/s)^2/M_sun | 1 time unit = 0.9778 Myr
# name,mass,x,y,z,vx,vy,vz
gaia_64449729487990912,1.0371,1.9037,-1.4568,-4.6258,-0.5066,-1.8134,4.4510
gaia_64941211186036352,1.0319,-1.9373,-1.1385,-2.8011,-0.8453,-2.0341,4.2785
gaia_68254245878512384,1.0491,4.3115,-1.0765,1.4942,-0.0947,-2.7251,3.0382
gaia_64380636350910464,1.0235,0.7434,-2.0715,-5.7746,-0.7080,-2.3315,4.5768
gaia_66507469798632320,1.0050,-5.0681,-4.6556,-3.7909,0.0662,-0.1006,-1.2406
gaia_66517468482370304,1.0296,-1.1981,-0.2864,-1.1281,-1.6559,-2.6678,3.5696
gaia_65295430026352512,1.0132,-0.9792,-3.2533,-0.7732,-0.6647,-2.6451,1.4919
gaia_66788291938818304,1.0077,-1.6652,-2.8908,-0.4518,-0.6684,-1.9270,4.4332
gaia_66771146429454592,1.0273,-0.4372,1.8211,1.8391,0.4777,-2.8570,-2.9897
gaia_70282986567389440,1.0125,-1.4930,-2.9453,4.7843,14.5168,23.9387,48.0812
gaia_66951603776380416,1.0413,1.3433,4.3455,5.3516,-3.9575,22.6717,-2.1748
gaia_68310531426918272,1.1004,13.0696,15.3189,9.9468,-20.0613,25.8420,-13.6827
gaia_64899017426872960,1.0116,0.9729,1.5221,-2.5229,-0.9175,-2.7574,3.5515
gaia_65063707949772544,1.0083,2.4554,0.3459,-1.7668,0.4758,-0.4416,4.6994
gaia_64981931772948480,1.0069,0.9833,1.0461,-1.1786,-0.2023,-1.6312,4.3492
gaia_66945109786641536,1.1051,11.5123,19.7231,13.9094,23.6111,14.3978,13.8455
gaia_68444878003882240,1.0044,3.9449,-1.8626,1.3824,0.0599,-1.8553,3.0647
gaia_65004712279475712,0.9758,-2.3174,-3.3780,-3.3270,-0.1394,-1.6290,3.5456
gaia_65276703968959488,0.9698,-2.7200,-5.0994,-2.4478,-0.3924,-2.6634,-34.1614
gaia_69847610026687104,0.9770,-2.3869,-3.9097,0.4369,0.0151,-2.1135,3.6389
gaia_66737095928811648,0.9799,-2.1596,-2.3752,-0.9120,-0.9076,-2.2134,3.3673
gaia_66809491897360896,0.9775,-2.1460,-3.0977,-0.0656,-0.9353,-2.7394,3.5203
gaia_66503449709270400,0.9848,-1.0249,0.8100,-0.9662,0.0485,-3.1864,1.7606
gaia_68409487473090688,1.0540,13.7341,10.5081,7.5842,0.0338,-2.3095,2.4671
gaia_68653235457299584,1.0323,9.4602,6.2842,8.7608,4.2439,22.9756,3.2227
gaia_69811639676769536,0.9534,-1.9310,-5.2512,-0.8398,-0.7266,-2.4768,2.1280
gaia_65224511525936896,0.9315,-4.9679,-8.1304,-4.5307,-31.7699,40.0877,-3.4545
gaia_66497196236905216,1.0447,7.1975,17.1513,8.4148,-7.2270,21.0316,9.3577
gaia_68296890611072384,0.9482,-0.5315,-3.4355,-0.5427,0.8763,-2.5166,2.2293
gaia_69840879814047872,0.9410,-1.7739,-4.3207,0.7526,-1.3879,-2.0577,2.9012
gaia_69829609819915648,0.9825,4.6701,4.2927,5.0650,-0.3397,-6.1943,2.7709
gaia_65089336018173440,0.9268,-1.0936,-4.6784,-3.6235,-0.9869,-1.6118,4.3373
gaia_65196370900147968,0.9450,0.9370,-0.4294,-0.5793,0.5282,-2.8259,2.9059
gaia_64770241424108032,0.9213,-1.2736,-3.9269,-6.0963,0.5684,-1.5574,3.7952
gaia_68322145018429952,0.9347,-0.2556,-2.8590,0.4652,0.0552,-2.3217,3.6272
gaia_69883417170175488,0.9161,-1.7986,-5.5527,0.0891,-0.4674,-2.5337,2.1924
gaia_70444271181166208,0.9223,-3.6822,-3.3469,3.7482,15.7397,10.5322,-25.7473
gaia_65232105028172160,0.9175,-0.2830,-3.5732,-2.6733,-0.5819,-1.9794,6.3241
gaia_65119164567417856,0.9044,-0.1618,-5.9348,-4.1411,0.3108,-1.5960,3.6836
gaia_68129764842889600,0.8990,0.4130,-5.3577,-3.1237,-0.2997,-1.9251,2.8963
gaia_66720946851771904,0.9414,2.1989,5.5218,2.8927,-1.0614,-5.7498,4.9606
gaia_66863058730966528,0.9191,-2.4479,1.2121,2.0345,-1.2746,-3.6502,1.6026
gaia_66832100605159424,0.8884,-3.7215,-4.1733,-0.2346,-0.9514,-2.8253,2.9700
gaia_66501181966524800,0.9042,-1.4965,0.5338,-1.1437,-0.2856,-1.6330,4.9748
gaia_64763987951737728,0.8468,-6.0038,-11.2201,-9.8439,-28.9612,13.3968,-2.9683
gaia_64858339793222272,0.8895,-0.5716,-2.3983,-4.1670,-22.1681,22.5696,21.2742
gaia_65086591535491584,0.8839,0.8576,-1.4230,-1.9521,-0.5830,-2.1503,4.3330
gaia_68310359628169088,0.8822,0.5890,-1.4965,1.1873,0.3176,-3.4387,3.4221
gaia_66581961710329984,0.8744,-4.7680,0.3097,-0.5253,-1.5340,-2.4754,6.5891
gaia_70252681278085376,0.8762,-0.3998,-3.0500,4.4675,-0.1908,-2.3105,2.5727
gaia_66781832308018176,0.8672,-1.4540,-2.4769,-0.5951,-0.3596,-1.0630,2.4997
gaia_65249250535404928,0.8823,2.0152,0.5268,0.5231,0.4654,-1.9280,3.8418
gaia_67331381964358656,0.9466,5.2988,16.1080,12.8364,-0.4442,-2.5160,4.6628
gaia_64743646986745600,0.8987,5.4934,6.1337,-2.0458,0.1158,-2.5988,16.4004
gaia_66565365957676416,0.8661,-2.0730,0.4425,0.4526,0.0188,-2.8270,3.2269
gaia_64928605459180416,0.8643,-0.6779,1.9213,-1.7724,-1.0273,-2.4093,12.4183
gaia_64913452814489216,0.8483,-1.7598,-1.6346,-3.4959,-0.4613,-2.4050,5.7390
gaia_70069814453956096,0.9011,4.4295,7.1904,9.4528,-7.6164,17.8229,14.4530
gaia_70190249631846272,0.9006,8.1917,5.8365,9.9690,-0.1416,-2.2842,1.8038
gaia_65150947325369600,0.8398,0.4611,-4.4528,-2.7198,-0.3970,-2.1687,2.6692
gaia_65810379422558848,0.9362,8.1816,22.9854,10.2154,-44.6469,13.3529,-57.9749
gaia_69864313155605120,0.8331,-1.8537,-4.2592,0.8381,-0.4952,-2.4246,-14.3147
gaia_64842362514916992,0.8591,5.6196,4.7835,-0.4103,-10.5473,-6.6932,-31.8510
gaia_65249250537488128,0.8577,4.3739,4.0326,2.4121,-0.4312,-1.2290,-2.1748
gaia_65284469269256704,0.8189,-1.1088,-2.7127,-0.6043,-0.1033,-1.8221,5.4451
gaia_65754132533480064,0.8723,2.2730,14.2039,4.8252,3.1601,-3.2866,38.3699
gaia_65289279632597760,0.8084,-1.1589,-4.5697,-1.7896,0.4047,-1.4716,3.0859
gaia_66502281478384000,0.8185,-1.7866,-0.0730,-1.3234,-0.9578,-3.4813,3.3090
gaia_63988351216124288,0.8044,-0.5010,-2.3562,-6.5633,-0.8858,-3.8966,5.2730
